Entity_ID,Tx_Count,Address_Count,Total_Received,Total_Sent,Balance
Cluster_151,1,1,23.7195,0.0,23.7195
Cluster_152,1,1,44.75,0.0,44.75
Cluster_153,1,1,0.01006493,0.0,0.01006493
Cluster_154,1,1,65.0,0.0,65.0
Cluster_351,1,1,0.0,1.01170264,-1.01170264
Cluster_352,1,1,0.00120264,0.0,0.00120264
Cluster_353,1,1,1.01,0.0,1.01
Cluster_355,1,1,8.44366055,0.0,8.44366055
Cluster_357,1,1,6.40707103,0.0,6.40707103
Cluster_332,1,1,2.0965,0.0,2.0965
Cluster_333,1,1,0.2,0.0,0.2
Cluster_241,1,1,0.0,0.49263337,-0.49263337
Cluster_242,1,1,0.49213337,0.0,0.49213337
Cluster_243,1,1,0.0,1.34163554,-1.34163554
Cluster_366,1,1,0.01349099,0.0,0.01349099
Cluster_368,1,1,0.1036524,0.0,0.1036524
Cluster_370,1,1,30.36123219,0.0,30.36123219
Cluster_372,1,1,1.00177488,0.0,1.00177488
Cluster_374,1,1,0.15084491,0.0,0.15084491
Cluster_348,1,1,0.31553836,0.0,0.31553836
Cluster_350,1,1,0.35180975,0.0,0.35180975
Cluster_256,1,1,0.0495,0.0,0.0495
Cluster_257,1,1,0.95,0.0,0.95
Cluster_258,1,1,6.4995,0.0,6.4995
Cluster_259,1,1,0.5,0.0,0.5
Cluster_230,1,1,2.1,0.0,2.1
Cluster_145,1,1,0.0104,0.0,0.0104
Cluster_205,1,1,0.0,150.0,-150.0
Cluster_377,1,1,0.04257756,0.0,0.04257756
Cluster_379,1,1,0.10676781,0.0,0.10676781
Cluster_381,1,1,0.15772485,0.0,0.15772485
Cluster_383,1,1,1.0841926,0.0,1.0841926
Cluster_385,1,1,0.54237139,0.0,0.54237139
Cluster_387,1,1,0.10673074,0.0,0.10673074
Cluster_389,1,1,0.10703969,0.0,0.10703969
Cluster_364,1,1,0.02891049,0.0,0.02891049
Cluster_129,1,1,38.79805948,0.0,38.79805948
Cluster_232,1,1,0.03137826,0.0,0.03137826
Cluster_234,1,1,0.02795457,0.0,0.02795457
Cluster_236,1,1,0.02137826,0.0,0.02137826
Cluster_237,1,1,0.01097389,0.0,0.01097389
Cluster_238,1,1,0.0,1.0005,-1.0005
Cluster_239,1,1,1.0,0.0,1.0
Cluster_392,1,1,0.0,1.53204224,-1.53204224
Cluster_393,1,1,0.80157686,0.0,0.80157686
Cluster_394,1,1,0.50162784,0.0,0.50162784
Cluster_395,1,1,0.12594559,0.0,0.12594559
Cluster_396,1,1,0.10239195,0.0,0.10239195
Cluster_397,1,1,0.0,3.7866,-3.7866
Cluster_399,1,1,0.0002,0.0,0.0002
Cluster_40,1,2,0.0,332.30784009,-332.30784009
Cluster_376,1,1,0.56646111,0.0,0.56646111
Cluster_244,1,1,0.34113554,0.0,0.34113554
Cluster_22,1,2,0.0,93.84151064,-93.84151064
Cluster_229,1,1,0.08,0.0,0.08
Cluster_201,1,1,0.0144,0.0,0.0144
Cluster_202,1,1,1.4009,0.0,1.4009
Cluster_203,1,1,0.01,0.0,0.01
Cluster_204,1,1,29.83,0.0,29.83
Cluster_137,1,1,0.0,90.0,-90.0
Cluster_138,1,1,89.0,0.0,89.0
Cluster_139,1,1,1.0,0.0,1.0
Cluster_140,1,1,0.4141,0.0,0.4141
Cluster_141,1,1,65.0,0.0,65.0
Cluster_142,1,1,0.04005,0.0,0.04005
Cluster_114,1,1,0.0,28238.2544155,-28238.2544155
Cluster_409,1,1,0.0,11.51302,-11.51302
Cluster_410,1,1,8e-05,0.0,8e-05
Cluster_411,1,1,0.00016,0.0,0.00016
Cluster_412,1,1,0.00024,0.0,0.00024
Cluster_415,1,1,8e-05,0.0,8e-05
Cluster_416,1,1,0.00171368,0.0,0.00171368
Cluster_417,1,1,2.057,0.0,2.057
Cluster_390,1,1,0.002,0.0,0.002
Cluster_391,1,1,0.002,0.0,0.002
Cluster_427,1,1,0.1,0.0,0.1
Cluster_428,1,1,0.1,0.0,0.1
Cluster_429,1,1,0.1,0.0,0.1
Cluster_43,1,3,0.0,2.01812047,-2.01812047
Cluster_430,1,1,0.1,0.0,0.1
Cluster_431,1,1,0.1,0.0,0.1
Cluster_432,1,1,0.1,0.0,0.1
Cluster_404,1,1,0.0003,0.0,0.0003
Cluster_405,1,1,0.0003,0.0,0.0003
Cluster_130,1,1,0.0,207.58101144,-207.58101144
Cluster_131,1,1,106.71558402,0.0,106.71558402
Cluster_132,1,1,100.86542742,0.0,100.86542742
Cluster_133,1,1,0.01000765,0.0,0.01000765
Cluster_134,1,1,613.729458,0.0,613.729458
Cluster_135,1,1,0.2695,0.0,0.2695
Cluster_136,1,1,70.85,0.0,70.85
Cluster_215,1,1,1.0625784,0.0,1.0625784
Cluster_187,1,1,0.0,6.0,-6.0
Cluster_188,1,1,5.0,0.0,5.0
Cluster_189,1,1,1.0,0.0,1.0
Cluster_190,1,1,0.0,64.29546519,-64.29546519
Cluster_192,1,1,2.3228228,0.0,2.3228228
Cluster_442,1,1,0.1,0.0,0.1
Cluster_443,1,1,0.1,0.0,0.1
Cluster_444,1,1,0.1,0.0,0.1
Cluster_445,1,1,0.1,0.0,0.1
Cluster_446,1,1,0.1,0.0,0.1
Cluster_447,1,1,0.1,0.0,0.1
Cluster_448,1,1,0.1,0.0,0.1
Cluster_424,1,1,0.1,0.0,0.1
Cluster_425,1,1,0.1,0.0,0.1
Cluster_426,1,1,0.1,0.0,0.1
Cluster_462,1,1,0.68,0.0,0.68
Cluster_433,1,1,0.02044875,0.0,0.02044875
Cluster_434,1,1,1.627,0.0,1.627
Cluster_435,1,1,0.1,0.0,0.1
Cluster_436,1,1,0.1,0.0,0.1
Cluster_437,1,1,0.1,0.0,0.1
